Entity,Year,"Share of fish stocks within biologically sustainable levels (FAO, 2020)",Share of fish stocks that are overexploited,Code,Capture fisheries production (metric tons),"Fish, Seafood- Food supply quantity (kg/capita/yr) (FAO, 2020)",Industrial (large-scale commercial),Commodity Balances - Livestock and Fish Primary Equivalent - Freshwater Fish - 2761 - Production - 5510 - tonnes
Namibia,2004,,,NAM,603170.0,14.03,85760977.0,2515.0
Nauru,2004,,,NRU,300.0,,85760977.0,
Nepal,2004,,,NPL,19947.0,1.62,85760977.0,39947.0
Netherlands,2004,,,NLD,521736.0,20.37,85760977.0,10621.0
New Caledonia,2004,,,NCL,3853.0,21.93,85760977.0,
New Zealand,2004,,,NZL,546103.0,26.9,85760977.0,6207.0
Nicaragua,2004,,,NIC,19668.0,2.52,85760977.0,746.0
Niger,2004,,,NER,51466.0,3.4,85760977.0,51506.0
Nigeria,2004,,,NGA,465251.0,10.37,85760977.0,226214.0
North America,2004,,,,6903358.0,,85760977.0,
North Korea,2004,,,PRK,205000.0,6.38,85760977.0,8700.0
North Macedonia,2004,,,MKD,213.0,5.29,85760977.0,1172.0
Northern Mariana Islands,2004,,,MNP,169.0,,85760977.0,
Norway,2004,,,NOR,2687989.0,51.84,85760977.0,628714.0
OECD members,2004,,,,32047458.1328125,,85760977.0,
Oman,2004,,,OMN,165016.0,27.07,85760977.0,1.0
Other small states,2004,,,,2945030.0,,85760977.0,
Pacific island small states,2004,,,,425499.95703125,,85760977.0,
Pakistan,2004,,,PAK,494829.0,1.99,85760977.0,170419.0
Palau,2004,,,PLW,1079.0,,85760977.0,
Palestine,2004,,,PSE,2951.0,,85760977.0,
Panama,2004,,,PAN,231224.0,10.77,85760977.0,919.0
Papua New Guinea,2004,,,PNG,294400.375,,85760977.0,
Paraguay,2004,,,PRY,22600.0,4.45,85760977.0,24676.0
Peru,2004,,,PER,9611947.0,19.82,85760977.0,44228.0
Philippines,2004,,,PHL,2205295.0,30.87,85760977.0,516052.0
Poland,2004,,,POL,192108.0,9.51,85760977.0,59958.0
Portugal,2004,,,PRT,222563.0,53.81,85760977.0,898.0
Post-demographic dividend,2004,,,,22139955.8945313,,85760977.0,
Pre-demographic dividend,2004,,,,3893396.265625,,85760977.0,
Puerto Rico,2004,,,PRI,3342.0,,85760977.0,
Qatar,2004,,,QAT,11134.0,,85760977.0,
Romania,2004,,,ROU,5095.0,4.16,85760977.0,11430.0
Russia,2004,,,RUS,2968363.0,16.66,85760977.0,415841.0
Rwanda,2004,,,RWA,7826.0,0.89,85760977.0,8212.0
Saint Kitts and Nevis,2004,,,KNA,1111.0,32.38,85760977.0,0.0
Saint Lucia,2004,,,LCA,1706.0,35.12,85760977.0,1.0
Saint Vincent and the Grenadines,2004,,,VCT,78315.0,16.99,85760977.0,0.0
Samoa,2004,,,WSM,9934.0,48.42,85760977.0,1.0
San Marino,2004,,,SMR,0.0,,85760977.0,
Sao Tome and Principe,2004,,,STP,4141.0,27.48,85760977.0,
Saudi Arabia,2004,,,SAU,55418.0,8.49,85760977.0,2466.0
Senegal,2004,,,SEN,434525.0,27.48,85760977.0,25223.0
Seychelles,2004,,,SYC,100671.0,,85760977.0,
Sierra Leone,2004,,,SLE,132440.0,26.53,85760977.0,17149.0
Singapore,2004,,,SGP,3309.0,,85760977.0,
Slovakia,2004,,,SVK,1603.0,7.66,85760977.0,2783.0
Slovenia,2004,,,SVN,1023.0,9.53,85760977.0,1506.0
Small states,2004,,,,3665965.95703125,,85760977.0,
Solomon Islands,2004,,,SLB,35045.671875,34.46,85760977.0,0.0
Somalia,2004,,,SOM,30000.0,,85760977.0,
South Africa,2004,,,ZAF,947569.0,9.88,85760977.0,2355.0
South Asia,2004,,,,5620971.40625,,85760977.0,
South Asia (IDA & IBRD),2004,,,,5620971.40625,,85760977.0,
South Korea,2004,,,KOR,1590000.0,53.34,85760977.0,30202.0
Spain,2004,,,ESP,811999.8125,41.76,85760977.0,34881.0
Sri Lanka,2004,,,LKA,332854.40625,21.96,85760977.0,32400.0
Sub-Saharan Africa,2004,,,,6108624.265625,,85760977.0,
Sub-Saharan Africa (IDA & IBRD),2004,,,,6108624.265625,,85760977.0,
Sub-Saharan Africa (excluding high income),2004,,,,6007953.265625,,85760977.0,
Sudan,2004,,,SDN,63007.5,,85760977.0,
Suriname,2004,,,SUR,32872.0,16.88,85760977.0,242.0
Sweden,2004,,,SWE,269931.0,32.55,85760977.0,9370.0
Switzerland,2004,,,CHE,1602.0,16.11,85760977.0,2807.0
Syria,2004,,,SYR,8528.0,,85760977.0,
Tajikistan,2004,,,TJK,184.0,0.19,85760977.0,210.0
Tanzania,2004,,,TZA,365816.6875,6.9,85760977.0,312053.0
Thailand,2004,,,THA,2860074.0,33.1,85760977.0,703271.0
Timor,2004,,,TLS,4000.0,4.33,85760977.0,15.0
Togo,2004,,,TGO,28013.0,6.85,85760977.0,7282.0
Tonga,2004,,,TON,3352.0,,85760977.0,
Trinidad and Tobago,2004,,,TTO,14713.0,20.39,85760977.0,25.0
Tunisia,2004,,,TUN,110371.671875,12.87,85760977.0,1855.0
Turkey,2004,,,TUR,550482.0,8.09,85760977.0,84596.0
Turkmenistan,2004,,,TKM,14992.0,3.27,85760977.0,15007.0
Turks and Caicos Islands,2004,,,TCA,3821.0,,85760977.0,
Tuvalu,2004,,,TUV,2450.0,,85760977.0,
Uganda,2004,,,UGA,372389.0,10.85,85760977.0,377326.0
Ukraine,2004,,,UKR,222272.015625,12.48,85760977.0,37654.0
United Arab Emirates,2004,,,ARE,90000.0,27.62,85760977.0,60.0
United Kingdom,2004,,,GBR,654962.0,21.45,85760977.0,175403.0
United States,2004,,,USA,5363263.0,24.85,85760977.0,707875.0
United States Virgin Islands,2004,,,VIR,1970.0,,85760977.0,
Upper middle income,2004,,,,38731784.5351563,,85760977.0,
Uruguay,2004,,,URY,123082.0,5.49,85760977.0,2350.0
Uzbekistan,2004,,,UZB,1900.0,0.27,85760977.0,4323.0
Vanuatu,2004,,,VUT,212786.625,29.89,85760977.0,1.0
Venezuela,2004,,,VEN,637495.0,19.98,85760977.0,54854.0
Vietnam,2004,,,VNM,1940865.0,25.91,85760977.0,956187.0
Yemen,2004,,,YEM,256300.0,9.22,85760977.0,
Zambia,2004,,,ZMB,94078.0,7.03,85760977.0,72850.0
Zimbabwe,2004,,,ZWE,70685.0,1.44,85760977.0,13455.0
Africa,2004,,,,,8.96,85760977.0,2442903.0
Americas,2004,,,,,14.65,85760977.0,2344894.0
Asia,2004,,,,,18.3,85760977.0,27125695.0
"Asia, Central",2004,,,,,1.2,85760977.0,53029.0
Australia & New Zealand,2004,,,,,27.48,85760977.0,28240.0
Caribbean,2004,,,,,10.33,85760977.0,36623.0
Central America,2004,,,,,8.62,85760977.0,179090.0
Eastern Africa,2004,,,,,4.11,85760977.0,1033080.0
Eastern Asia,2004,,,,,29.84,85760977.0,17079664.0
Eastern Europe,2004,,,,,12.91,85760977.0,584604.0
Europe,2004,,,,,19.71,85760977.0,1769935.0
"Europe, Western",2004,,,,,21.08,85760977.0,130953.0
Land Locked Developing Countries,2004,,,,,3.05,85760977.0,1020787.0
Least Developed Countries,2004,,,,,9.58,85760977.0,4256060.0
Low Income Food Deficit Countries,2004,,,,,5.96,85760977.0,6818523.0
Melanesia,2004,,,OWID_MNS,,33.3,85760977.0,103.0
Micronesia (region),2004,,,,,74.81,85760977.0,299.0
Middle Africa,2004,,,,,13.39,85760977.0,197753.0
Net Food Importing Developing Countries,2004,,,,,9.59,85760977.0,5323590.0
Netherlands Antilles,2004,,,ANT,,23.12,85760977.0,
Northern Africa,2004,,,,,9.8,85760977.0,637056.0
Northern America,2004,,,,,24.78,85760977.0,881840.0
Northern Europe,2004,,,,,25.46,85760977.0,951332.0
Oceania,2004,,,,,28.35,85760977.0,28695.0
Polynesia,2004,,,OWID_PYA,,48.48,85760977.0,53.0
Serbia and Montenegro,2004,,,OWID_SRM,,4.94,85760977.0,6525.0
Small island developing States,2004,,,,,13.12,85760977.0,39131.0
South America,2004,,,,,8.46,85760977.0,1247341.0
South Eastern Asia,2004,,,,,26.83,85760977.0,4603823.0
Southern Africa,2004,,,,,9.43,85760977.0,5138.0
Southern Asia,2004,,,,,5.58,85760977.0,5248363.0
Southern Europe,2004,,,,,27.97,85760977.0,103046.0
Sudan (former),2004,,,,,1.65,85760977.0,59100.0
Taiwan,2004,,,TWN,,28.03,85760977.0,200729.0
Western Africa,2004,,,,,12.26,85760977.0,569876.0
Western Asia,2004,,,,,8.0,85760977.0,140816.0
World,2006,72.37113402,27.62886598,OWID_WRL,91237774.257,17.46,78480816.0,38154827.0
Afghanistan,2006,,,AFG,1000.0,0.06,78480816.0,1450.0
Africa Eastern and Southern,2006,,,,3324574.5,,78480816.0,
Africa Western and Central,2006,,,,2391540.0,,78480816.0,
Albania,2006,,,ALB,5652.2998046875,4.77,78480816.0,2125.0
Algeria,2006,,,DZA,145763.796875,5.12,78480816.0,263.0
American Samoa,2006,,,ASM,5349.0,,78480816.0,
Andorra,2006,,,AND,0.0,,78480816.0,
Angola,2006,,,AGO,225741.0,13.92,78480816.0,10656.0
Antigua and Barbuda,2006,,,ATG,3044.0,55.72,78480816.0,
Arab World,2006,,,,2478328.4609375,,78480816.0,
Argentina,2006,,,ARG,1176616.0,9.06,78480816.0,35985.0
Armenia,2006,,,ARM,350.0,1.44,78480816.0,403.0
Aruba,2006,,,ABW,145.0,,78480816.0,
Australia,2006,,,AUS,229131.0,25.48,78480816.0,28185.0
Austria,2006,,,AUT,360.0,13.33,78480816.0,2863.0
Azerbaijan,2006,,,AZE,4061.0,1.78,78480816.0,4637.0
Bahamas,2006,,,BHS,16242.0,32.26,78480816.0,0.0
Bahrain,2006,,,BHR,15593.0,,78480816.0,
Bangladesh,2006,,,BGD,1436496.0,15.65,78480816.0,1919662.0
Barbados,2006,,,BRB,1986.0,41.27,78480816.0,2.0
Belarus,2006,,,BLR,645.0,16.06,78480816.0,9051.0
Belgium,2006,,,BEL,23048.0,23.83,78480816.0,599.0
Belize,2006,,,BLZ,185773.0,14.12,78480816.0,389.0
Benin,2006,,,BEN,41507.0,12.44,78480816.0,22415.0
Bermuda,2006,,,BMU,381.0,45.89,78480816.0,
Bhutan,2006,,,BTN,20.0,,78480816.0,
Bolivia,2006,,,BOL,50523.0,1.68,78480816.0,5655.0
Bosnia and Herzegovina,2006,,,BIH,305.0,6.22,78480816.0,7656.0
Botswana,2006,,,BWA,81.0,2.45,78480816.0,81.0
Brazil,2006,,,BRA,780092.0,6.6,78480816.0,436277.0
British Virgin Islands,2006,,,VGB,1308.0,,78480816.0,
Brunei,2006,,,BRN,2279.0,35.82,78480816.0,55.0
Bulgaria,2006,,,BGR,7544.0,5.66,78480816.0,4946.0
Burkina Faso,2006,,,BFA,9500.0,2.65,78480816.0,9700.0
Burundi,2006,,,BDI,12978.0,,78480816.0,
Cambodia,2006,,,KHM,620142.0,36.2,78480816.0,454200.0
Cameroon,2006,,,CMR,137232.0,13.4,78480816.0,75435.0
Canada,2006,,,CAN,1419355.0,23.7,78480816.0,194726.0
Cape Verde,2006,,,CPV,19826.0,10.76,78480816.0,
Caribbean Small States,2006,,,,385348.0,,78480816.0,
Cayman Islands,2006,,,CYM,125.0,,78480816.0,
Central African Republic,2006,,,CAF,27000.0,7.21,78480816.0,27140.0
Central Europe and the Baltics,2006,,,,594423.301757813,,78480816.0,
Chad,2006,,,TCD,79000.0,5.04,78480816.0,50000.0
Channel Islands,2006,,,OWID_CIS,3468.0,,78480816.0,
Chile,2006,,,CHL,4461870.0,14.89,78480816.0,647302.0
China,2006,,,CHN,14995706.0,27.55,78480816.0,18458878.0
Colombia,2006,,,COL,1078727.0,5.96,78480816.0,65180.0
Comoros,2006,,,COM,10464.0,,78480816.0,
Congo,2006,,,COG,59082.0,20.09,78480816.0,31125.0
Costa Rica,2006,,,CRI,19195.0,8.03,78480816.0,15230.0
Cote d'Ivoire,2006,,,CIV,54830.0,14.92,78480816.0,7763.0
Croatia,2006,,,HRV,37876.1328125,18.0,78480816.0,5133.0
Cuba,2006,,,CUB,27587.0,6.88,78480816.0,23204.0
Cyprus,2006,,,CYP,29940.0,19.94,78480816.0,104.0
Czechia,2006,,,CZE,4646.0,9.47,78480816.0,25077.0
Democratic Republic of Congo,2006,,,COD,234562.0,,78480816.0,
Denmark,2006,,,DNK,867721.0,23.04,78480816.0,37773.0
Djibouti,2006,,,DJI,1299.0,3.25,78480816.0,
Dominica,2006,,,DMA,694.0,24.59,78480816.0,20.0
Dominican Republic,2006,,,DOM,12956.0,10.26,78480816.0,1823.0
Early-demographic dividend,2006,,,,31002623.8945313,,78480816.0,
East Asia & Pacific,2006,,,,39658945.8476563,,78480816.0,
East Asia & Pacific (IDA & IBRD),2006,,,,31355385.8476563,,78480816.0,
East Asia & Pacific (excluding high income),2006,,,,31564397.8476563,,78480816.0,
Ecuador,2006,,,ECU,469060.0,6.87,78480816.0,20485.0
Egypt,2006,,,EGY,375895.0,17.55,78480816.0,564104.0
El Salvador,2006,,,SLV,43218.0,6.38,78480816.0,4733.0
Equatorial Guinea,2006,,,GNQ,4000.0,,78480816.0,
Eritrea,2006,,,ERI,8813.0,,78480816.0,
Estonia,2006,,,EST,86884.0,11.91,78480816.0,5492.0
Eswatini,2006,,,SWZ,60.0,3.41,78480816.0,60.0
Ethiopia,2006,,,ETH,10617.0,0.14,78480816.0,9915.0
Euro area,2006,,,,3839835.55957031,,78480816.0,
Europe & Central Asia,2006,,,,14804618.7922363,,78480816.0,
Europe & Central Asia (IDA & IBRD),2006,,,,4347884.23266602,,78480816.0,
Europe & Central Asia (excluding high income),2006,,,,4164529.09985352,,78480816.0,
European Union,2006,,,,5186560.69238281,23.11,78480816.0,604251.0
Faeroe Islands,2006,,,FRO,623122.0,,78480816.0,
Fiji,2006,,,FJI,48733.0,36.1,78480816.0,426.0
Finland,2006,,,FIN,149603.0,34.08,78480816.0,62276.0
Fragile and conflict affected situations,2006,,,,4525812.84765625,,78480816.0,
France,2006,,,FRA,595229.875,34.71,78480816.0,45278.0
French Polynesia,2006,,,PYF,12778.0,48.57,78480816.0,56.0
Gabon,2006,,,GAB,41521.0,37.06,78480816.0,9835.0
Gambia,2006,,,GMB,37477.0,27.8,78480816.0,4505.0
Georgia,2006,,,GEO,14746.0,6.21,78480816.0,125.0
Germany,2006,,,DEU,293046.0,14.78,78480816.0,49553.0
Ghana,2006,,,GHA,375050.0,30.68,78480816.0,90098.0
Gibraltar,2006,,,GIB,1.0,,78480816.0,
Greece,2006,,,GRC,98239.703125,22.09,78480816.0,7823.0
Greenland,2006,,,GRL,445845.0,,78480816.0,
Grenada,2006,,,GRD,2163.0,38.27,78480816.0,0.0
Guam,2006,,,GUM,418.0,,78480816.0,
Guatemala,2006,,,GTM,17569.0,2.75,78480816.0,5225.0
Guinea,2006,,,GIN,104718.0,9.1,78480816.0,9002.0
Guinea-Bissau,2006,,,GNB,7067.0,1.31,78480816.0,150.0
Guyana,2006,,,GUY,58288.0,25.49,78480816.0,1300.0
Haiti,2006,,,HTI,12260.0,4.23,78480816.0,482.0
Heavily indebted poor countries (HIPC),2006,,,,3442616.5,,78480816.0,
High income,2006,,,,30556800.6923828,,78480816.0,
Honduras,2006,,,HND,22657.0,4.7,78480816.0,28500.0
Hong Kong,2006,,,HKG,154536.0,68.85,78480816.0,1177.0
Hungary,2006,,,HUN,7543.0,5.3,78480816.0,22229.0
IBRD only,2006,,,,57919443.9436035,,78480816.0,
IDA & IBRD total,2006,,,,67764877.7912598,,78480816.0,
IDA blend,2006,,,,1931633.6875,,78480816.0,
IDA only,2006,,,,7913800.16015625,,78480816.0,
IDA total,2006,,,,9845433.84765625,,78480816.0,
Iceland,2006,,,ISL,1348112.0,91.23,78480816.0,6664.0
India,2006,,,IND,3877337.0,5.23,78480816.0,3777464.0
Indonesia,2006,,,IDN,4818814.0,22.59,78480816.0,1279173.0
Iran,2006,,,IRN,445879.0,7.14,78480816.0,193225.0
Iraq,2006,,,IRQ,59075.0,3.36,78480816.0,61031.0
Ireland,2006,,,IRL,241288.0,20.56,78480816.0,13169.0
Isle of Man,2006,,,IMN,2579.0,,78480816.0,
Israel,2006,,,ISR,3820.0,19.56,78480816.0,18101.0
Italy,2006,,,ITA,317853.6875,25.98,78480816.0,37208.0
Jamaica,2006,,,JAM,17703.0,29.02,78480816.0,7943.0
Japan,2006,,,JPN,4466579.5,57.26,78480816.0,318447.0
Jordan,2006,,,JOR,497.0,5.89,78480816.0,910.0
Kazakhstan,2006,,,KAZ,30045.0,3.42,78480816.0,34294.0
Kenya,2006,,,KEN,167976.0,4.1,78480816.0,152723.0
Kiribati,2006,,,KIR,25661.0,73.6,78480816.0,122.0
Kuwait,2006,,,KWT,5635.0,12.05,78480816.0,693.0
Kyrgyzstan,2006,,,KGZ,37.0,1.83,78480816.0,57.0
Laos,2006,,,LAO,26925.0,15.4,78480816.0,86905.0
Late-demographic dividend,2006,,,,35008388.263916,,78480816.0,
Latin America & Caribbean,2006,,,,17788313.25,,78480816.0,
Latin America & Caribbean (IDA & IBRD),2006,,,,17731796.25,,78480816.0,
Latin America & Caribbean (excluding high income),2006,,,,12768884.25,,78480816.0,
Latvia,2006,,,LVA,140389.0,14.03,78480816.0,1420.0
Least developed countries: UN classification,2006,,,,7330758.16015625,,78480816.0,
Lebanon,2006,,,LBN,3811.0,9.53,78480816.0,1073.0
Lesotho,2006,,,LSO,45.0,0.58,78480816.0,47.0
Liberia,2006,,,LBR,8894.0,3.63,78480816.0,2417.0
Libya,2006,,,LBY,34652.0,,78480816.0,
Liechtenstein,2006,,,LIE,0.0,,78480816.0,
Lithuania,2006,,,LTU,154548.0,37.16,78480816.0,3808.0
Low & middle income,2006,,,,62737206.6584473,,78480816.0,
Low income,2006,,,,2055919.5,,78480816.0,
Lower middle income,2006,,,,23609974.8085938,,78480816.0,
Luxembourg,2006,,,LUX,0.0,27.38,78480816.0,
Macao,2006,,,MAC,1500.0,56.82,78480816.0,
Madagascar,2006,,,MDG,141353.0,6.84,78480816.0,35520.0
Malawi,2006,,,MWI,73485.0,5.84,78480816.0,74287.0
Malaysia,2006,,,MYS,1292167.0,54.38,78480816.0,100136.0
Maldives,2006,,,MDV,185811.0,109.7,78480816.0,
Mali,2006,,,MLI,100000.0,9.35,78480816.0,101000.0
Malta,2006,,,MLT,1332.0,30.59,78480816.0,0.0
Marshall Islands,2006,,,MHL,43974.0,,78480816.0,
Mauritania,2006,,,MRT,165312.0,8.43,78480816.0,15000.0
Mauritius,2006,,,MUS,8681.0,19.72,78480816.0,17.0
Mexico,2006,,,MEX,1368697.25,11.7,78480816.0,139938.0
Micronesia (country),2006,,,FSM,15442.0,,78480816.0,
Middle East & North Africa,2006,,,,2666575.9609375,,78480816.0,
Middle East & North Africa (IDA & IBRD),2006,,,,2307940.9609375,,78480816.0,
Middle East & North Africa (excluding high income),2006,,,,2310263.9609375,,78480816.0,
Middle income,2006,,,,60681287.1584473,,78480816.0,
Moldova,2006,,,MDA,51.0,11.96,78480816.0,6841.0
Monaco,2006,,,MCO,1.0,,78480816.0,
Mongolia,2006,,,MNG,326.0,0.2,78480816.0,326.0
Montenegro,2006,,,MNE,1524.80004882813,8.23,78480816.0,922.0
Morocco,2006,,,MAR,891750.625,12.0,78480816.0,4296.0
Mozambique,2006,,,MOZ,95903.0,5.07,78480816.0,26070.0
Myanmar,2006,,,MMR,1823450.0,33.74,78480816.0,1155507.0
Namibia,2006,,,NAM,592935.0,14.34,78480816.0,2815.0
Nauru,2006,,,NRU,370.0,,78480816.0,
Nepal,2006,,,NPL,20016.0,1.81,78480816.0,45425.0
Netherlands,2006,,,NLD,513331.0,21.29,78480816.0,13130.0
New Caledonia,2006,,,NCL,3333.0,23.66,78480816.0,
New Zealand,2006,,,NZL,476809.0,24.83,78480816.0,8797.0
Nicaragua,2006,,,NIC,32198.0,5.01,78480816.0,682.0
Niger,2006,,,NER,29835.0,2.24,78480816.0,29875.0
Nigeria,2006,,,NGA,552323.0,15.06,78480816.0,307973.0
North America,2006,,,,6730944.0,,78480816.0,
North Korea,2006,,,PRK,205000.0,9.15,78480816.0,8730.0
North Macedonia,2006,,,MKD,147.0,5.59,78480816.0,735.0
Northern Mariana Islands,2006,,,MNP,221.0,,78480816.0,
Norway,2006,,,NOR,2419512.0,51.33,78480816.0,695062.0
OECD members,2006,,,,30638700.3095703,,78480816.0,
Oman,2006,,,OMN,147668.0,28.07,78480816.0,0.0
Other small states,2006,,,,2511689.80004883,,78480816.0,
Pacific island small states,2006,,,,415710.66015625,,78480816.0,
Pakistan,2006,,,PAK,506473.0,2.04,78480816.0,261936.0
Palau,2006,,,PLW,967.0,,78480816.0,
Palestine,2006,,,PSE,2323.0,,78480816.0,
Panama,2006,,,PAN,265816.0,13.79,78480816.0,4183.0
Papua New Guinea,2006,,,PNG,285826.6875,,78480816.0,
Paraguay,2006,,,PRY,21000.0,4.03,78480816.0,23230.0
Peru,2006,,,PER,7020939.0,20.54,78480816.0,44248.0
Philippines,2006,,,PHL,2299043.5,33.16,78480816.0,626857.0
Poland,2006,,,POL,145479.0,9.79,78480816.0,58337.0
Portugal,2006,,,PRT,229838.0,56.48,78480816.0,1011.0
Post-demographic dividend,2006,,,,21669871.1923828,,78480816.0,
Pre-demographic dividend,2006,,,,3881404.5,,78480816.0,
Puerto Rico,2006,,,PRI,2806.0,,78480816.0,
Qatar,2006,,,QAT,16376.0,,78480816.0,
Romania,2006,,,ROU,6663.0,5.51,78480816.0,14137.0
Russia,2006,,,RUS,3319235.0,18.56,78480816.0,542211.0
Rwanda,2006,,,RWA,7711.0,1.13,78480816.0,7741.0
Saint Kitts and Nevis,2006,,,KNA,1179.0,35.33,78480816.0,0.0
Saint Lucia,2006,,,LCA,1647.0,32.34,78480816.0,0.0
Saint Vincent and the Grenadines,2006,,,VCT,51585.0,17.25,78480816.0,0.0
Samoa,2006,,,WSM,12435.0,45.54,78480816.0,1.0
San Marino,2006,,,SMR,0.0,,78480816.0,
Sao Tome and Principe,2006,,,STP,4323.0,27.54,78480816.0,
Saudi Arabia,2006,,,SAU,65485.0,9.86,78480816.0,3895.0
Senegal,2006,,,SEN,368390.0,22.43,78480816.0,26406.0
Serbia,2006,,,SRB,2632.0,4.8,78480816.0,7467.0
Seychelles,2006,,,SYC,92739.0,,78480816.0,
Sierra Leone,2006,,,SLE,144146.0,27.26,78480816.0,17357.0
Singapore,2006,,,SGP,4815.0,,78480816.0,
Slovakia,2006,,,SVK,1718.0,8.94,78480816.0,2981.0
Slovenia,2006,,,SVN,1133.1689453125,9.87,78480816.0,1376.0
Small states,2006,,,,3312748.46020508,,78480816.0,
Solomon Islands,2006,,,SLB,39525.66015625,34.19,78480816.0,0.0
Somalia,2006,,,SOM,30000.0,,78480816.0,
South Africa,2006,,,ZAF,653123.0,7.88,78480816.0,2280.0
South Asia,2006,,,,6305756.0,,78480816.0,
South Asia (IDA & IBRD),2006,,,,6305756.0,,78480816.0,
South Korea,2006,,,KOR,1773003.0,58.15,78480816.0,33117.0
Spain,2006,,,ESP,962054.125,44.57,78480816.0,30761.0
Sri Lanka,2006,,,LKA,278603.0,19.15,78480816.0,38460.0
Sub-Saharan Africa,2006,,,,5716114.5,,78480816.0,
Sub-Saharan Africa (IDA & IBRD),2006,,,,5716114.5,,78480816.0,
Sub-Saharan Africa (excluding high income),2006,,,,5623375.5,,78480816.0,
Sudan,2006,,,SDN,57007.5,,78480816.0,
Suriname,2006,,,SUR,31921.0,17.02,78480816.0,200.0
Sweden,2006,,,SWE,269253.0,31.64,78480816.0,9837.0
Switzerland,2006,,,CHE,1690.0,16.99,78480816.0,2904.0
Syria,2006,,,SYR,8264.0,,78480816.0,
Tajikistan,2006,,,TJK,215.0,0.34,78480816.0,241.0
Tanzania,2006,,,TZA,337464.0,6.54,78480816.0,292531.0
Thailand,2006,,,THA,2731250.0,31.2,78480816.0,722715.0
Timor,2006,,,TLS,3300.0,3.42,78480816.0,23.0
Togo,2006,,,TGO,24830.0,7.31,78480816.0,6137.0
Tonga,2006,,,TON,2882.0,,78480816.0,
Trinidad and Tobago,2006,,,TTO,13123.0,19.16,78480816.0,25.0
Tunisia,2006,,,TUN,111394.5390625,13.4,78480816.0,2062.0
Turkey,2006,,,TUR,533048.0,8.5,78480816.0,93430.0
Turkmenistan,2006,,,TKM,15000.0,3.36,78480816.0,15025.0
Turks and Caicos Islands,2006,,,TCA,4105.0,,78480816.0,
Tuvalu,2006,,,TUV,3160.0,,78480816.0,
Uganda,2006,,,UGA,367099.0,10.62,78480816.0,399489.0
Ukraine,2006,,,UKR,219228.0,15.85,78480816.0,34165.0
United Arab Emirates,2006,,,ARE,100403.0,24.01,78480816.0,59.0
United Kingdom,2006,,,GBR,624738.0,22.58,78480816.0,147930.0
United States,2006,,,USA,5311208.0,24.19,78480816.0,632296.0
United States Virgin Islands,2006,,,VIR,2213.0,,78480816.0,
Upper middle income,2006,,,,37071312.3498535,,78480816.0,
Uruguay,2006,,,URY,134022.0,7.24,78480816.0,2171.0
Uzbekistan,2006,,,UZB,3400.0,0.27,78480816.0,5231.0
Vanuatu,2006,,,VUT,222561.0,30.48,78480816.0,92.0
Venezuela,2006,,,VEN,377261.0,13.29,78480816.0,50984.0
Vietnam,2006,,,VNM,2042725.0,24.36,78480816.0,1350345.0
Yemen,2006,,,YEM,229660.0,6.52,78480816.0,
Zambia,2006,,,ZMB,100041.0,6.13,78480816.0,65446.0
Zimbabwe,2006,,,ZWE,91373.0,1.35,78480816.0,12950.0
Africa,2006,,,,,9.84,78480816.0,2560286.0
Americas,2006,,,,,14.68,78480816.0,2392418.0
Asia,2006,,,,,18.96,78480816.0,31244494.0
"Asia, Central",2006,,,,,1.49,78480816.0,54848.0
Australia & New Zealand,2006,,,,,25.37,78480816.0,36982.0
Caribbean,2006,,,,,10.25,78480816.0,33499.0
Central America,2006,,,,,10.1,78480816.0,198880.0
Eastern Africa,2006,,,,,4.3,78480816.0,1076689.0
Eastern Asia,2006,,,,,30.77,78480816.0,18991647.0
Eastern Europe,2006,,,,,14.61,78480816.0,719975.0
Europe,2006,,,,,21.28,78480816.0,1919950.0
"Europe, Western",2006,,,,,22.44,78480816.0,114327.0
Land Locked Developing Countries,2006,,,,,3.06,78480816.0,1018186.0
Least Developed Countries,2006,,,,,10.35,78480816.0,4960274.0
Low Income Food Deficit Countries,2006,,,,,6.59,78480816.0,7888606.0
Melanesia,2006,,,OWID_MNS,,33.24,78480816.0,518.0
Micronesia (region),2006,,,,,73.6,78480816.0,122.0
Middle Africa,2006,,,,,12.63,78480816.0,204191.0
Net Food Importing Developing Countries,2006,,,,,10.05,78480816.0,6167144.0
Netherlands Antilles,2006,,,ANT,,25.86,78480816.0,
Northern Africa,2006,,,,,10.78,78480816.0,624325.0
Northern America,2006,,,,,24.15,78480816.0,827022.0
Northern Europe,2006,,,,,25.75,78480816.0,983431.0
Oceania,2006,,,,,26.39,78480816.0,37679.0
Polynesia,2006,,,OWID_PYA,,47.32,78480816.0,57.0
Small island developing States,2006,,,,,12.59,78480816.0,36275.0
South America,2006,,,,,8.57,78480816.0,1333017.0
South Eastern Asia,2006,,,,,28.21,78480816.0,5775916.0
Southern Africa,2006,,,,,7.59,78480816.0,5283.0
Southern Asia,2006,,,,,6.0,78480816.0,6237622.0
Southern Europe,2006,,,,,30.11,78480816.0,102217.0
Sudan (former),2006,,,,,1.57,78480816.0,53600.0
Taiwan,2006,,,TWN,,27.89,78480816.0,170972.0
Western Africa,2006,,,,,14.64,78480816.0,649798.0
Western Asia,2006,,,,,8.34,78480816.0,184461.0
World,2008,67.0212766,32.9787234,OWID_WRL,90694759.549,18.2,76840638.0,42449914.0
